epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.201,1.30298,2.7922,1.43256,0.74358,0.4573,0.52626,0.37838,1.46618,5.29597,1.63095,0.000368809,0.000368809,0.000368809
2,443.599,1.24159,1.91262,1.3848,0.46358,0.53104,0.48684,0.314,1.57783,5.99599,1.6976,0.000731825,0.000731825,0.000731825
3,683.923,1.24264,1.59909,1.38469,0.58611,0.55462,0.56019,0.38053,1.5718,2.21409,1.69861,0.00108751,0.00108751,0.00108751
4,940.985,1.19737,1.44357,1.3574,0.74247,0.47682,0.54497,0.39527,1.54589,2.30012,1.66191,0.001078,0.001078,0.001078
5,1182.7,1.14625,1.29694,1.32186,0.5524,0.55699,0.54465,0.36733,1.52208,1.89914,1.65247,0.001067,0.001067,0.001067
6,1423.79,1.12172,1.21984,1.31243,0.60405,0.50459,0.54745,0.39697,1.49666,2.06915,1.55834,0.00105601,0.00105601,0.00105601
7,1663.16,1.07931,1.14306,1.27872,0.66729,0.61744,0.61366,0.44498,1.33052,1.41049,1.45312,0.00104501,0.00104501,0.00104501
8,1942.31,1.05715,1.12009,1.26921,0.63192,0.61647,0.60886,0.45831,1.38513,1.43138,1.51171,0.00103401,0.00103401,0.00103401
9,2176.53,1.02001,1.06022,1.24042,0.63665,0.60884,0.61564,0.44934,1.39641,1.51923,1.51239,0.00102301,0.00102301,0.00102301
10,2450.78,1.03134,1.0471,1.24308,0.67003,0.65157,0.65958,0.48846,1.26432,1.22413,1.40295,0.00101201,0.00101201,0.00101201
11,2707.44,0.98349,0.99595,1.2236,0.65351,0.60026,0.62466,0.46123,1.25621,1.34708,1.3831,0.00100101,0.00100101,0.00100101
12,2962.44,0.98888,0.99813,1.22849,0.60335,0.67624,0.63122,0.47452,1.25507,1.28463,1.40231,0.000990012,0.000990012,0.000990012
13,3219.88,0.98743,0.97889,1.22197,0.68944,0.65859,0.6556,0.48416,1.23044,1.1894,1.37099,0.000979013,0.000979013,0.000979013
