epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.381,1.3763,3.13255,1.45545,0.50702,0.39568,0.40845,0.279,1.85339,3.8611,1.79331,0.000255443,0.000255443,0.000255443
2,541.863,1.29684,2.01895,1.3678,0.50306,0.47488,0.4751,0.31338,1.72865,2.64275,1.56796,0.00050671,0.00050671,0.00050671
3,833.507,1.27522,1.66982,1.35117,0.53372,0.47201,0.47567,0.32928,1.79856,2.35041,1.65874,0.000752901,0.000752901,0.000752901
4,1145.5,1.23388,1.4697,1.32202,0.56137,0.53493,0.52737,0.35561,1.73392,1.78413,1.60912,0.000746161,0.000746161,0.000746161
5,1446.89,1.18631,1.31179,1.29092,0.53562,0.55992,0.56424,0.38599,1.64551,1.59172,1.51749,0.000738548,0.000738548,0.000738548
6,1755.45,1.16678,1.25079,1.28552,0.51059,0.58698,0.53332,0.37666,1.63674,1.56587,1.48624,0.000730935,0.000730935,0.000730935
7,2043.07,1.10991,1.14311,1.24403,0.58772,0.57489,0.55662,0.36313,1.69456,1.6176,1.51058,0.000723321,0.000723321,0.000723321
8,2318.6,1.10986,1.11493,1.23864,0.56135,0.60857,0.54684,0.38845,1.51743,1.51812,1.39118,0.000715708,0.000715708,0.000715708
9,2605.04,1.08742,1.08335,1.22068,0.61868,0.6002,0.58749,0.40065,1.53531,1.40339,1.40659,0.000708095,0.000708095,0.000708095
10,2884.26,1.08475,1.07605,1.22724,0.55668,0.57871,0.57548,0.40173,1.53254,1.38507,1.41865,0.000700482,0.000700482,0.000700482
11,3186.73,1.0509,1.03082,1.20216,0.60567,0.63103,0.59755,0.41131,1.51878,1.35826,1.40452,0.000692869,0.000692869,0.000692869
12,3482.41,1.0542,1.00062,1.1971,0.65626,0.59911,0.61979,0.4273,1.45003,1.3037,1.35065,0.000685256,0.000685256,0.000685256
13,3770.24,1.04287,0.98143,1.1891,0.68285,0.60555,0.60718,0.42173,1.43009,1.31752,1.33582,0.000677643,0.000677643,0.000677643
14,4046.9,1.02377,0.9588,1.18667,0.66779,0.61428,0.61165,0.43428,1.43802,1.24428,1.32624,0.00067003,0.00067003,0.00067003
15,4328.16,1.02738,0.95338,1.1855,0.6189,0.60827,0.61813,0.43485,1.42532,1.25591,1.33831,0.000662417,0.000662417,0.000662417
16,4613.65,0.99659,0.91629,1.17213,0.6621,0.63777,0.62123,0.43208,1.44575,1.19393,1.35897,0.000654804,0.000654804,0.000654804
17,4890.07,0.99109,0.89679,1.17036,0.60594,0.66086,0.60132,0.41964,1.41483,1.26412,1.31141,0.00064719,0.00064719,0.00064719
18,5172.55,0.9882,0.89793,1.1657,0.66075,0.63896,0.61956,0.43578,1.39595,1.18852,1.31458,0.000639577,0.000639577,0.000639577
19,5449.18,0.98643,0.88969,1.16286,0.66284,0.63519,0.64044,0.45766,1.33988,1.15294,1.28572,0.000631964,0.000631964,0.000631964
20,6096.26,0.97867,0.86376,1.15266,0.67673,0.65023,0.63045,0.44117,1.42429,1.22424,1.34151,0.000624351,0.000624351,0.000624351
21,6358.07,0.96635,0.86057,1.15164,0.66175,0.67338,0.64293,0.45377,1.36745,1.13785,1.30091,0.000616738,0.000616738,0.000616738
22,6668.96,0.94657,0.84102,1.14162,0.68848,0.62011,0.6453,0.45765,1.33899,1.18467,1.27044,0.000609125,0.000609125,0.000609125
23,7031.53,0.94168,0.82612,1.14179,0.66889,0.69546,0.68052,0.46938,1.37448,1.08223,1.28526,0.000601512,0.000601512,0.000601512
24,7376.05,0.94,0.82295,1.13724,0.6949,0.65765,0.64803,0.45108,1.41608,1.14515,1.2982,0.000593899,0.000593899,0.000593899
25,7702.39,0.94739,0.82775,1.13992,0.66886,0.6579,0.64944,0.4568,1.37834,1.16518,1.28793,0.000586286,0.000586286,0.000586286
26,8036.79,0.94021,0.81469,1.14271,0.69705,0.65786,0.66497,0.46045,1.41616,1.09077,1.33672,0.000578672,0.000578672,0.000578672
27,8369.52,0.92833,0.79159,1.12397,0.7058,0.67176,0.67229,0.47352,1.34112,1.07709,1.27585,0.000571059,0.000571059,0.000571059
28,8695.04,0.92271,0.79009,1.1165,0.72518,0.6767,0.68899,0.48347,1.34387,1.03112,1.28642,0.000563446,0.000563446,0.000563446
29,9014.42,0.90699,0.7652,1.11642,0.69467,0.65429,0.65168,0.45991,1.36427,1.19111,1.29211,0.000555833,0.000555833,0.000555833
30,9348.09,0.91925,0.78605,1.12485,0.68448,0.66442,0.65204,0.46106,1.37491,1.11023,1.28784,0.00054822,0.00054822,0.00054822
31,9675.96,0.9089,0.76563,1.11564,0.72693,0.69801,0.6964,0.48398,1.36745,1.0474,1.27634,0.000540607,0.000540607,0.000540607
32,9994.58,0.89099,0.75888,1.1107,0.71934,0.68091,0.67529,0.47781,1.31736,1.05793,1.26953,0.000532994,0.000532994,0.000532994
33,10313.6,0.91856,0.76554,1.11585,0.67611,0.67199,0.66342,0.46192,1.34424,1.1188,1.27905,0.000525381,0.000525381,0.000525381
34,10634.5,0.89383,0.74844,1.11018,0.72835,0.68288,0.68455,0.4781,1.33544,1.06487,1.28081,0.000517768,0.000517768,0.000517768
35,10984.1,0.87895,0.72526,1.09141,0.73353,0.66661,0.69376,0.48494,1.32107,1.00032,1.2759,0.000510155,0.000510155,0.000510155
36,11325,0.88431,0.72514,1.10369,0.72128,0.68915,0.67322,0.46991,1.33015,1.00258,1.28058,0.000502541,0.000502541,0.000502541
37,11650.1,0.87932,0.71067,1.0963,0.73352,0.70117,0.69473,0.48415,1.32828,0.98873,1.28073,0.000494928,0.000494928,0.000494928
38,12007.6,0.87426,0.71194,1.09459,0.72206,0.69845,0.69925,0.49531,1.31267,1.02462,1.26333,0.000487315,0.000487315,0.000487315
39,12366.3,0.87612,0.72419,1.09424,0.71001,0.7035,0.70369,0.49243,1.30701,1.0024,1.26032,0.000479702,0.000479702,0.000479702
40,12665.2,0.88257,0.7022,1.09223,0.72204,0.68333,0.68529,0.47699,1.34033,1.03339,1.2647,0.000472089,0.000472089,0.000472089
41,12976.4,0.85863,0.68664,1.08783,0.7477,0.67125,0.69942,0.49664,1.30519,0.98335,1.26758,0.000464476,0.000464476,0.000464476
42,13298,0.84738,0.68209,1.08182,0.71337,0.71333,0.70831,0.49907,1.29321,0.96352,1.25128,0.000456863,0.000456863,0.000456863
43,13631.2,0.86428,0.68562,1.07572,0.72651,0.70765,0.70986,0.49121,1.32163,0.98987,1.25745,0.00044925,0.00044925,0.00044925
44,13944.4,0.85366,0.67196,1.08808,0.75201,0.68815,0.7128,0.49491,1.31776,0.95948,1.25496,0.000441637,0.000441637,0.000441637
